X Y Z Dir_X Dir_Y Dir_Z Dip_Direction Dip M K T n(T)
2612067 1147083 1892 0.6223 -0.7588 0.1924 140.64 78.91 5.62 2.32 16 995 
2612069 1147085 1889 0.6216 -0.7589 0.1941 140.68 78.81 5.62 2.32 16 995 
2612071 1147085 1889 0.6211 -0.7589 0.1954 140.70 78.73 5.62 2.33 16 995 
2612073 1147087 1888 0.6207 -0.7590 0.1966 140.72 78.66 5.63 2.34 16 995 
2612075 1147089 1887 0.6206 -0.7589 0.1971 140.72 78.63 5.63 2.34 16 995 
2612077 1147089 1888 0.6207 -0.7588 0.1974 140.72 78.62 5.62 2.36 16 995 
2612079 1147091 1888 0.6209 -0.7586 0.1973 140.70 78.62 5.62 2.37 16 995 
2612081 1147091 1890 0.6212 -0.7584 0.1972 140.68 78.63 5.62 2.38 16 995 
2612083 1147093 1890 0.6216 -0.7582 0.1969 140.65 78.65 5.62 2.40 16 995 
2612085 1147095 1890 0.6221 -0.7579 0.1963 140.62 78.68 5.61 2.42 16 995 
2612087 1147095 1892 0.6229 -0.7576 0.1951 140.57 78.75 5.61 2.44 16 995 
2612089 1147097 1893 0.6239 -0.7572 0.1936 140.51 78.84 5.61 2.46 16 995 
